Latency,Interval
18446744056030515200,18446744073709549568
18446744056030515200,0
18446744056030515200,0
18446744056030513152,18446744073709549568
18446744056030513152,0
18446744056030511104,18446744073709549568
18446744056030511104,0
18446744056030511104,0
18446744056030509056,18446744073709549568
18446744056030509056,0
18446744056030509056,0
18446744056030507008,18446744073709549568
18446744056030507008,0
18446744056030507008,0
18446744056030507008,0
18446744056030504960,18446744073709549568
18446744056030504960,0
18446744056030504960,0
18446744056030502912,18446744073709549568
18446744056030502912,0
18446744056030500864,18446744073709549568
18446744056030500864,0
18446744056030500864,0
18446744056030498816,18446744073709549568
18446744056030498816,0
18446744056030496768,18446744073709549568
18446744056030496768,0
18446744056030496768,0
18446744056030494720,18446744073709549568
18446744056030494720,0
18446744056030494720,0
18446744056030492672,18446744073709549568
18446744056030492672,0
18446744056030490624,18446744073709549568
18446744056030490624,0
18446744056030490624,0
18446744056030488576,18446744073709549568
18446744056030488576,0
18446744056030488576,0
18446744056030486528,18446744073709549568
18446744056030486528,0
18446744056030486528,0
18446744056030484480,18446744073709549568
18446744056030484480,0
18446744056030484480,0
18446744056030484480,0
18446744056030482432,18446744073709549568
18446744056030482432,0
18446744056030482432,0
18446744056030480384,18446744073709549568
18446744056030480384,0
18446744056030478336,18446744073709549568
18446744056030478336,0
18446744056030478336,0
18446744056030476288,18446744073709549568
18446744056030476288,0
18446744056030474240,18446744073709549568
18446744056030474240,0
18446744056030474240,0
18446744056030472192,18446744073709549568
18446744056030472192,0
18446744056030472192,0
18446744056030470144,18446744073709549568
18446744056030470144,0
18446744056030470144,0
18446744056030468096,18446744073709549568
18446744056030468096,0
18446744056030468096,0
18446744056030466048,18446744073709549568
18446744056030466048,0
18446744056030466048,0
18446744056030464000,18446744073709549568
18446744056030464000,0
18446744056030461952,18446744073709549568
18446744056030461952,0
18446744056030461952,0
18446744056030459904,18446744073709549568
18446744056030459904,0
18446744056030459904,0
18446744056030457856,18446744073709549568
18446744056030457856,0
18446744056030457856,0
18446744056030455808,18446744073709549568
18446744056030455808,0
18446744056030455808,0
18446744056030455808,0
18446744056030453760,18446744073709549568
18446744056030453760,0
18446744056030451712,18446744073709549568
18446744056030451712,0
18446744056030451712,0
18446744056030449664,18446744073709549568
18446744056030449664,0
18446744056030449664,0
18446744056030447616,18446744073709549568
18446744056030447616,0
18446744056030447616,0
18446744056030445568,18446744073709549568
18446744056030445568,0
18446744056030443520,18446744073709549568
18446744056030443520,0
18446744056030443520,0
18446744056030441472,18446744073709549568
18446744056030441472,0
18446744056030441472,0
18446744056030439424,18446744073709549568
18446744056030439424,0
18446744056030437376,18446744073709549568
18446744056030437376,0
18446744056030437376,0
18446744056030435328,18446744073709549568
18446744056030435328,0
18446744056030435328,0
18446744056030433280,18446744073709549568
18446744056030433280,0
18446744056030433280,0
18446744056030431232,18446744073709549568
18446744056030431232,0
18446744056030431232,0
18446744056030429184,18446744073709549568
18446744056030429184,0
18446744056030429184,0
18446744056030427136,18446744073709549568
18446744056030427136,0
18446744056030427136,0
18446744056030425088,18446744073709549568
18446744056030425088,0
18446744056030425088,0
18446744056030423040,18446744073709549568
18446744056030423040,0
18446744056030423040,0
18446744056030420992,18446744073709549568
18446744056030420992,0
18446744056030420992,0
18446744056030418944,18446744073709549568
18446744056030418944,0
18446744056030418944,0
18446744056030416896,18446744073709549568
18446744056030416896,0
18446744056030414848,18446744073709549568
18446744056030414848,0
18446744056030414848,0
18446744056030412800,18446744073709549568
18446744056030412800,0
18446744056030412800,0
18446744056030410752,18446744073709549568
18446744056030410752,0
18446744056030410752,0
18446744056030408704,18446744073709549568
18446744056030408704,0
18446744056030406656,18446744073709549568
18446744056030406656,0
18446744056030406656,0
18446744056030404608,18446744073709549568
